,name,Grouping,score,binary-artifacts,branch-protection,ci-tests,cii-best-practices,code-review,contributors,dangerous-workflow,dependency-update-tool,fuzzing,license,maintained,packaging,pinned-dependencies,sast,security-policy,signed-releases,token-permissions,vulnerabilities
0,github.com/fsspec/s3fs,Python,5.4,10,0,10,0,9,10,10,0,0,10,10,10,7,0,0,2.17391304347826,0,10
1,github.com/aio-libs/frozenlist,Python,6.4,10,3,10,0,8,10,10,10,0,10,10,10,7,10,0,0,0,10
2,github.com/python-attrs/attrs,Python,6.6,10,8,10,0,8,10,10,0,0,10,10,10,9,0,10,2.17391304347826,0,10
3,github.com/tox-dev/py-filelock,Python,6.7,10,0,9,0,6,10,10,10,0,10,10,10,7,0,10,2.17391304347826,0,10
4,github.com/python/importlib_resources,Python,5.8,10,0,10,0,4,10,10,10,0,10,10,10,7,0,0,2.17391304347826,0,10
5,github.com/pypa/setuptools,Python,5.2,0,0,10,0,6,10,10,10,0,10,10,10,7,0,0,2.17391304347826,0,10
6,github.com/tqdm/tqdm,Python,6.7,10,3,9,5,5,10,10,0,0,10,10,10,10,0,0,10,10,10
7,github.com/aio-libs/frozenlist,Python,6.4,10,3,10,0,8,10,10,10,0,10,10,10,7,10,0,0,0,10
8,github.com/numpy/numpy,Python,6.0,10,3,10,0,8,10,10,0,10,10,10,10,0,0,10,0,0,10
9,github.com/pytest-dev/pluggy,Python,5.3,10,0,8.35555555555556,0,9,10,10,0,0,10,3,10,7,1.21739130434783,0,2.17391304347826,0,10
10,github.com/pypa/wheel,Python,5.0,10,0,10,0,5,10,10,0,0,10,5,10,7,0,0,2.17391304347826,0,10
11,github.com/psf/requests,Python,7.0,10,6,10,0,10,10,10,0,10,10,10,10,7,10,10,0,0,10
12,github.com/chardet/chardet,Python,5.5,10,3,7,0,7,10,10,0,0,10,10,10,9,0,0,2.17391304347826,0,10
13,github.com/pallets/markupsafe,Python,6.9,10,3,10,0,7,10,10,10,0,10,10,10,7,0,10,2.17391304347826,0,10
14,github.com/pypa/packaging,Python,5.4,4,3,9,0,9,10,10,0,0,10,10,10,9,0,10,0,0,10
15,github.com/websocket-client/websocket-client,Python,4.8,10,0,6,0,3,10,10,0,0,10,10,10,7,0,0,2.17391304347826,0,10
16,github.com/benjaminp/six,Python,5.1,10,0,7,0,4,10,10,0,0,10,0,10,10,0,0,2.17391304347826,10,10
17,github.com/idan/oauthlib,Python,5.4,10,6,8,0,8,10,10,0,0,10,4,10,9,0,0,2.17391304347826,0,10
18,github.com/pyparsing/pyparsing,Python,5.1,10,1,10,0,1,10,10,0,0,10,10,10,9,0,10,0,0,10
19,github.com/pyca/pyopenssl,Python,6.8,10,6,9,0,10,10,10,10,0,10,10,10,7,0,0,2.17391304347826,0,10
20,github.com/gweis/isodate,Python,4.2,10,0,7,0,5,10,10,0,0,10,0,10,7,0,0,2.17391304347826,0,10
21,github.com/dateutil/dateutil,Python,5.6,10,3,10,0,9,10,10,0,0,10,5,10,7,0,0,10,0,10
22,github.com/yaml/pyyaml,Python,5.4,10,3,10,0,1,10,10,0,10,10,8,10,7,0,0,2.17391304347826,0,10
23,github.com/googleapis/python-api-core,Python,7.3,10,7,10,0,10,10,10,10,0,10,10,10,4,0,10,2.17391304347826,0,10
24,github.com/pyca/cryptography,Python,8.7,10,8,10,0,10,10,10,10,10,10,10,10,4,0,10,2.17391304347826,10,10
25,github.com/giampaolo/psutil,Python,4.9,10,0,8,0,3,10,10,0,0,10,10,10,7,0,0,2.17391304347826,0,10
26,github.com/astanin/python-tabulate,Python,6.0,10,0,8,0,5,10,10,0,0,10,10,10,10,0,0,2.17391304347826,10,10
27,github.com/lxml/lxml,Python,4.9,10,0,10,0,1,10,10,0,10,10,10,10,7,0,0,0,0,10
28,github.com/python/typing,Python,6.7,10,3,10,0,10,10,10,0,0,10,10,10,9,0,0,2.17391304347826,10,10
29,github.com/ousret/charset_normalizer,Python,6.7,10,3,9,0,9,0,10,10,0,10,10,10,7,10,0,2.17391304347826,0,10
30,github.com/aws/aws-cli,Python,5.8,10,3,10,0,10,10,10,0,0,10,10,10,7,0,10,0,0,10
31,github.com/shazow/urllib3,Python,7.7,10,8,10,0,10,10,10,10,10,10,10,10,7,0,10,2,0,10
32,github.com/python/importlib_metadata,Python,5.4,8,0,10,0,1,10,10,10,0,10,10,10,7,0,0,2.17391304347826,0,10
33,github.com/aio-libs/multidict,Python,6.1,10,3,10,0,10,10,10,10,0,10,10,10,7,0,0,0,0,10
34,github.com/aio-libs/aiosignal,Python,6.6,10,3,10,0,10,10,10,10,0,10,10,10,7,10,0,0,0,10
35,github.com/googleapis/python-api-common-protos,Python,7.7,10,8,0,0,10,6,10,10,0,10,8,10,5,0,10,2.17391304347826,10,10
36,github.com/scipy/scipy,Python,6.5,10,3,8,0,9,10,10,0,0,10,10,10,7,0,10,0,10,10
37,github.com/uiri/toml,Python,5.6,10,3,8,0,6,10,10,0,0,10,1,10,10,0,0,2.17391304347826,10,10
38,github.com/aio-libs/async-timeout,Python,6.5,10,3,10,0,9,10,10,10,0,10,10,10,7,10,0,0,0,10
39,github.com/pypa/pip,Python,5.5,0,3,10,2,10,10,10,0,10,10,10,10,7,0,0,2.17391304347826,0,10
40,github.com/intake/filesystem_spec,Python,5.4,10,0,9,0,9,10,10,0,0,10,10,10,7,0,0,2.17391304347826,0,10
41,github.com/wbond/asn1crypto,Python,5.0,10,0,8,0,3,10,10,0,0,10,3,10,9,0,10,2.17391304347826,0,10
42,github.com/facelessuser/soupsieve,Python,4.9,10,0,10,0,3,0,10,0,0,10,10,10,7,0,0,2.17391304347826,0,10
43,github.com/googleapis/googleapis,Python,6.1,10,0,8.35555555555556,0,7,10,10,0,10,10,10,10,5,0,10,2.17391304347826,0,10
44,github.com/micheles/decorator,Python,4.5,10,0,7,0,3,10,10,0,0,10,4,10,9,0,0,2.17391304347826,0,10
45,github.com/pyca/pynacl,Python,6.7,10,6,10,0,10,10,10,10,0,10,9,10,7,0,0,2.17391304347826,0,10
46,github.com/jmespath/jmespath.py,Python,5.0,10,0,9,0,6,10,10,0,0,10,7,10,9,0,0,2.17391304347826,0,10
47,github.com/google/googleapis,Python,6.8,10,0,8.35555555555556,0,6,10,10,10,0,10,10,10,7,1.21739130434783,10,2.17391304347826,0,10
48,github.com/etingof/pyasn1,Python,5.1,10,0,1,0,6,10,10,0,0,10,0,10,10,0,0,2.17391304347826,10,10
49,github.com/python/mypy_extensions,Python,5.4,10,0,10,0,6,10,10,0,0,10,0,10,10,0,0,2.17391304347826,10,10
50,github.com/googleapis/python-bigquery,Python,8.5,10,8,0,0,10,10,10,10,10,10,10,10,5,0,10,2.17391304347826,10,10
51,github.com/pallets/werkzeug,Python,7.0,10,3,9,0,6,10,10,10,0,10,10,10,7,0,10,10,0,10
52,github.com/googleapis/python-cloud-core,Python,6.9,10,8,8,0,10,10,10,10,0,10,5,10,4,0,10,2.17391304347826,0,10
53,github.com/aio-libs/aiohttp,Python,6.9,10,3,9,0,9,10,10,10,10,10,10,10,5,10,0,0,0,10
54,github.com/pytest-dev/pytest,Python,7.1,10,8,10,0,9,10,10,10,0,10,10,10,7,0,0,2.17391304347826,0,10
55,github.com/platformdirs/platformdirs,Python,6.8,10,0,10,0,7,10,10,10,0,10,10,10,7,0,10,2.17391304347826,0,10
56,github.com/python-greenlet/greenlet,Python,4.8,10,0,10,0,2,10,10,0,0,10,0,10,7,9,0,2.17391304347826,0,10
57,github.com/tobgu/pyrsistent,Python,4.7,10,0,7,0,4,10,10,0,0,10,7,10,7,0,0,2.17391304347826,0,10
58,github.com/googleapis/api-common-protos,Python,7.5,10,8,10,0,10,10,10,10,0,10,0,10,7,0,10,2.17391304347826,10,10
59,github.com/googleapis/python-storage,Python,7.9,10,8,0,0,10,10,10,10,0,10,10,10,5,0,10,2.17391304347826,10,10
60,github.com/pallets/jinja,Python,6.9,10,3,9,0,5,10,10,10,0,10,10,10,7,0,10,10,0,10
61,github.com/aio-libs/aiobotocore,Python,6.0,10,3,9,0,7,10,10,0,0,10,10,10,7,10,0,2.17391304347826,0,10
62,github.com/hukkin/tomli,Python,4.7,10,3,10,0,4,3,10,0,0,10,5,10,7,0,0,2.17391304347826,0,10
63,github.com/pandas-dev/pandas,Python,5.5,10,3,10,0,10,10,10,0,0,10,10,10,0,0,10,0,0,10
64,github.com/pallets/flask,Python,7.3,10,3,7,0,6,10,10,10,10,10,10,10,7,0,10,8,0,10
65,github.com/fsspec/filesystem_spec,Python,5.3,10,0,8.35555555555556,0,9,10,10,0,0,10,10,10,7,0,0,2.17391304347826,0,10
66,github.com/oauthlib/oauthlib,Python,5.4,10,6,8,0,8,10,10,0,0,10,4,10,9,0,0,2.17391304347826,0,10
67,github.com/tartley/colorama,Python,5.5,10,0,10,0,2,10,10,0,0,10,10,10,9,0,10,2.17391304347826,0,10
68,github.com/dask/s3fs,Python,6.0,10,0,10,0,9,10,10,0,0,10,10,10,7,0,10,2.17391304347826,0,10
69,github.com/eliben/pycparser,Python,4.6,10,0,10,0,3,10,10,0,0,10,4,10,9,0,0,2.17391304347826,0,10
70,github.com/boto/s3transfer,Python,5.4,10,0,10,0,7,10,10,0,0,10,5,10,7,0,10,2.17391304347826,0,10
71,github.com/jpadilla/pyjwt,Python,6.6,10,6,10,0,7,10,10,10,0,10,10,10,7,0,0,2.17391304347826,0,10
72,github.com/kjd/idna,Python,5.1,10,3,10,0,7,10,10,0,0,10,4,10,9,0,0,2.17391304347826,0,10
73,github.com/pallets/pallets-sphinx-themes,Python,5.7,10,3,0,0,4,10,10,0,0,10,0,10,10,0,10,2.17391304347826,10,10
74,github.com/aio-libs/yarl,Python,6.5,10,3,10,0,10,10,10,10,0,10,10,10,7,8,0,0,0,10
75,github.com/aio-libs/yarl,Python,6.5,10,3,10,0,10,10,10,10,0,10,10,10,7,8,0,0,0,10
76,github.com/liris/websocket-client,Python,4.8,10,0,6,0,3,10,10,0,0,10,10,10,7,0,0,2.17391304347826,0,10
77,github.com/pallets/itsdangerous,Python,6.6,10,3,10,0,6,10,10,10,0,10,8,10,7,0,10,2.17391304347826,0,10
78,github.com/googleapis/google-resumable-media-python,Python,6.6,10,8,5,0,10,10,10,10,0,10,3,10,4,0,10,2.17391304347826,0,10
79,github.com/sybrenstuvel/python-rsa,Python,5.3,10,0,0,0,2,10,10,0,10,10,0,10,10,0,0,2.17391304347826,10,10
80,github.com/boto/boto3,Python,5.2,10,0,10,0,0,10,10,0,0,10,10,10,7,0,10,2.17391304347826,0,10
81,github.com/tkem/cachetools,Python,4.5,10,0,5,0,0,6,10,0,0,10,10,10,7,0,0,2.17391304347826,0,10
82,github.com/sqlalchemy/sqlalchemy,Python,5.6,10,3,10,0,0,10,10,0,10,10,10,10,7,0,10,0,0,10
83,github.com/apache/arrow,Python,6.4,10,3,10,0,9,10,10,0,0,10,10,10,7.09677419354839,0,10,2.17391304347826,0,10
84,github.com/etingof/pyasn1-modules,Python,5.4,10,0,10,0,7,10,10,0,0,10,0,10,10,0,0,2.17391304347826,10,10
85,github.com/boto/botocore,Python,5.8,10,6,10,0,1,10,10,0,0,10,10,10,7,0,10,2.17391304347826,0,10
86,github.com/requests/requests-oauthlib,Python,4.7,10,3,9,0,7,10,10,0,0,10,0,10,7,0,0,2.17391304347826,0,10
87,github.com/pygments/pygments,Python,5.5,10,0,10,0,4,10,10,0,10,10,10,10,5,0,0,2.17391304347826,0,10
88,github.com/pallets/click,Python,6.8,10,3,9,0,6,10,10,10,0,10,10,10,7,0,10,2.17391304347826,0,10
89,github.com/benediktschmitt/py-filelock,Python,6.8,10,0,9,0,7,10,10,10,0,10,10,10,7,0,10,2.17391304347826,0,10
90,github.com/certifi/python-certifi,Python,4.7,10,0,7,0,5,10,10,0,0,10,6,10,7,0,0,2.17391304347826,0,10
91,github.com/googlecloudplatform/google-auth-library-python,Python,7.9,10,7,0,0,10,10,10,10,0,10,10,10,5,0,10,2.17391304347826,10,10
92,github.com/microsoft/vscode,Python,6.7,7,8,10,0,10,10,10,0,0,10,10,10,5,7,10,2.17391304347826,0,10
93,github.com/googleapis/google-auth-library-python,Python,7.9,10,8,0,0,10,10,10,10,0,10,10,10,5,0,10,2.17391304347826,10,10